Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.7767988443	0.3093340993	88.2664413452	1550.0	89.3371734619	1368.0	17794.0	88.25806427
W-2_RB1in_S01_Forward	1.7407407761	0.2709927559	86.2278671265	1790.0	89.5274581909	1572.0	22075.0	87.8212280273
W-2_RB1out_S01_Backward	1.6698894501	-0.0064872815	88.627281189	1636.0	91.9377593994	1452.0	10930.0	88.7530593872
W-2_RB1out_S01_Forward	1.8614097834	0.0525609739	92.2772979736	1800.0	95.2380981445	1684.0	12599.0	93.555557251
W-2_RB2in_S01_Backward	1.6563421488	0.5679624081	91.4375305176	1476.0	93.6459884644	1356.0	9740.0	91.8699188232
W-2_RB2in_S01_Forward	1.9239766598	0.2440010309	93.3628540039	1854.0	94.7560958862	1748.0	14293.0	94.2826309204
W-2_RB2out_S01_Middle	1.8030302525	-0.1709032953	93.9611663818	1120.0	96.7105255127	1058.0	6967.0	94.4642868042
W-2_RB2out_S01_Backward	1.7139480114	-0.2661938369	93.6081085205	898.0	95.821723938	846.0	5091.0	94.2093582153
W-2_RB2out_S01_Forward	1.960431695	-0.1529229134	93.9411010742	1186.0	96.2421722412	1118.0	7609.0	94.2664413452
W-2_RB3-_S01_Backward	1.7105263472	0.3818533719	89.2005462646	334.0	93.3823547363	306.0	2154.0	91.6167678833
W-2_RB3-_S01_Forward	1.8932584524	0.5836088657	93.8927612305	380.0	94.5121917725	356.0	2457.0	93.684211731
W-2_RB3+_S01_Backward	1.6583333015	0.3680515885	92.9238967896	522.0	94.7136611938	484.0	3215.0	92.7203063965
W-2_RB3+_S01_Forward	1.7029702663	0.547524929	94.491607666	644.0	94.4237976074	614.0	3164.0	95.3416137695
W-2_RB4-_S01_Backward	1.6915887594	-0.0705194473	92.5595245361	226.0	94.8453598022	214.0	3070.0	94.6902618408
W-2_RB4-_S01_Forward	1.8217054605	-0.2662372589	94.2992630005	282.0	93.7984466553	260.0	2834.0	92.1985778809
W-2_RB4+_S01_Backward	1.5096154213	0.281999439	90.9297027588	226.0	94.1747512817	208.0	2243.0	92.0354003906
W-2_RB4+_S01_Forward	1.9067796469	0.4063877761	94.2222213745	248.0	97.2477111816	236.0	2890.0	95.1612854004
W-2_RB1in_S02_Backward	1.8368420601	0.3020775914	89.2781448364	4250.0	92.6148757935	3814.0	23491.0	89.7411727905
