Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	0.0	0.0	0.0	8564.0	0.0	0.0	36.0	0.0
W-2_RB1in_S01_Forward	1.0	-0.1016197205	0.0610948205	9884.0	0.0	4.0	80.0	0.0404694453
W-2_RB1out_S01_Backward	4.0	0.0	0.0220458563	8632.0	0.0267737601	2.0	101.0	0.0231696013
W-2_RB1out_S01_Forward	0.0	0.0	0.0	10330.0	0.0	0.0	116.0	0.0
W-2_RB2in_S01_Backward	1.0	-3.6999282837	0.027777778	7768.0	0.0289855059	2.0	185.0	0.0257466547
W-2_RB2in_S01_Forward	1.0	-1.4570007324	0.0132275131	9274.0	0.0240558088	2.0	109.0	0.0215656683
W-2_RB2out_S01_Middle	0.0	0.0	0.0	5754.0	0.0	0.0	152.0	0.0
W-2_RB2out_S01_Backward	0.0	0.0	0.0	4746.0	0.0	0.0	16.0	0.0
W-2_RB2out_S01_Forward	1.0	-0.9139089584	0.0700280145	6046.0	0.0420698375	4.0	169.0	0.0661594421
W-2_RB3-_S01_Backward	1.0	1.8979377747	0.125313282	1658.0	0.1404494345	2.0	83.0	0.1206272617
W-2_RB3-_S01_Forward	0.0	0.0	0.0	1612.0	0.0	0.0	49.0	0.0
W-2_RB3+_S01_Backward	1.25	0.9566121101	0.755000174	2720.0	0.7633587718	24.0	269.0	0.8823530078
W-2_RB3+_S01_Forward	0.0	0.0	0.0	2484.0	0.0	0.0	54.0	0.0
W-2_RB4-_S01_Backward	0.0	0.0	0.0	1076.0	0.0	0.0	47.0	0.0
W-2_RB4-_S01_Forward	0.0	0.0	0.0	1112.0	0.0	0.0	83.0	0.0
W-2_RB4+_S01_Backward	0.0	0.0	0.0	1024.0	0.0	0.0	58.0	0.0
W-2_RB4+_S01_Forward	0.0	0.0	0.0	1004.0	0.0	0.0	190.0	0.0
W-2_RB1in_S02_Backward	1.1428571939	0.5453414917	0.0427526459	24944.0	0.0557051338	14.0	653.0	0.0561257228
W-2_RB1in_S02_Forward	1.0	0.6530176997	0.1345882416	29528.0	0.1430507451	40.0	362.0	0.1354646385
W-2_RB1out_S02_Backward	0.0	0.0	0.0	22222.0	0.0	0.0	129.0	0.0
W-2_RB1out_S02_Forward	1.0	0.1875648797	0.086268194	29586.0	0.0816659853	26.0	323.0	0.087879397
W-2_RB2in_S02_Backward	1.0	1.8440027237	0.0089887641	17456.0	0.0132170226	2.0	206.0	0.011457378
W-2_RB2in_S02_Forward	1.0	1.0911712646	0.010403662	17636.0	0.0125423307	2.0	159.0	0.0113404403
W-2_RB2out_S02_Middle	1.0	-1.2043542862	0.0653463379	10868.0	0.0473821349	4.0	245.0	0.0368053019
W-2_RB2out_S02_Backward	1.0	-1.6029052734	0.0324658193	11074.0	0.0218770504	4.0	79.0	0.036120642
W-2_RB2out_S02_Forward	1.0	-5.1587219238	0.0308359712	13358.0	0.0380879827	6.0	317.0	0.0449169055
W-2_RB3-_S02_Backward	1.0	0.2395401001	0.0350140072	6132.0	0.0404530764	2.0	35.0	0.0326157883
W-2_RB3-_S02_Forward	1.0	0.6254081726	0.0449236296	5640.0	0.0422475711	2.0	65.0	0.0354609936
W-2_RB3+_S02_Backward	0.0	0.0	0.0	9124.0	0.0	0.0	4.0	0.0
W-2_RB3+_S02_Forward	1.0	1.0467710495	0.0200080052	8190.0	0.0284333248	2.0	73.0	0.0244200267
W-2_RB4-_S02_Backward	0.0	0.0	0.0	1538.0	0.0	0.0	354.0	0.0
W-2_RB4-_S02_Forward	0.0	0.0	0.0	1716.0	0.0	0.0	253.0	0.0
W-2_RB4+_S02_Backward	0.0	0.0	0.0	4708.0	0.0	0.0	178.0	0.0
W-2_RB4+_S02_Forward	1.0	1.5790863037	0.0310945269	5370.0	0.0430663228	2.0	547.0	0.0372439474
W-2_RB1in_S03_Backward	1.2380952835	0.006969295	0.0825920999	97210.0	0.0929345936	84.0	371.0	0.0864108652
W-2_RB1in_S03_Forward	1.2358490229	-0.551111877	0.1504006982	134602.0	0.1633387804	212.0	601.0	0.1575013697
W-2_RB1out_S03_Backward	1.0731707811	0.6976006627	0.0876713693	89504.0	0.1023410484	82.0	806.0	0.0916160196
W-2_RB1out_S03_Forward	1.4210525751	0.3068923056	0.0290831234	135786.0	0.0333169661	38.0	735.0	0.0279852133
W-2_RB2in_S03_Backward	1.0	0.3271867037	0.079991892	81924.0	0.0934923664	72.0	259.0	0.0878863335
W-2_RB2in_S03_Forward	1.0	-0.3777483404	0.085533075	104986.0	0.0971509442	94.0	402.0	0.089535743
W-2_RB2out_S03_Middle	1.1333333254	0.3274064958	0.0574451163	59816.0	0.0594378859	30.0	892.0	0.0501538031
W-2_RB2out_S03_Backward	1.0	0.711052537	0.0153769795	49888.0	0.0193068832	8.0	58.0	0.0160359219
W-2_RB2out_S03_Forward	1.1794872284	0.368109405	0.1083609909	78414.0	0.0585346818	78.0	654.0	0.0994720384
W-2_RB3-_S03_Backward	1.0	1.1596426964	0.0114344796	34382.0	0.0072469017	4.0	197.0	0.0116339941
W-2_RB3-_S03_Forward	1.0	-0.9178414345	0.0057372348	31816.0	0.0075746104	2.0	190.0	0.0062861452
W-2_RB3+_S03_Backward	0.0	0.0	0.0	58280.0	0.0	0.0	54.0	0.0
W-2_RB3+_S03_Forward	0.0	0.0	0.0	71280.0	0.0	0.0	5.0	0.0
W-2_RB4-_S03_Backward	0.0	0.0	0.0	4978.0	0.0	0.0	412.0	0.0
W-2_RB4-_S03_Forward	1.0	1.5500335693	0.0270562768	7020.0	0.0337381922	2.0	376.0	0.0284900274
W-2_RB4+_S03_Backward	1.0	-1.3550882339	0.0147737851	30762.0	0.0146961566	4.0	336.0	0.0130030559
W-2_RB4+_S03_Forward	1.0588235855	-0.3828140199	0.086264424	37088.0	0.0998253003	34.0	703.0	0.0916738585
W-2_RB1in_S04_Backward	1.0714285374	0.1849855036	0.08162117	132902.0	0.0788726509	112.0	246.0	0.0842726231
W-2_RB1in_S04_Forward	1.1621621847	-0.0590649173	0.0430841036	168118.0	0.045922365	74.0	304.0	0.044016704
W-2_RB1out_S04_Backward	1.0454545021	1.343132019	0.0334422924	125088.0	0.0307230782	44.0	265.0	0.0351752341
W-2_RB1out_S04_Forward	1.0	0.1767873764	0.0196293164	172452.0	0.0248022694	36.0	136.0	0.0208753739
W-2_RB2in_S04_Backward	1.1499999762	-0.0640809685	0.0723172575	162316.0	0.0761745945	120.0	352.0	0.0739298612
W-2_RB2in_S04_Forward	1.0740740299	0.0631924123	0.106216684	200398.0	0.1222659945	216.0	488.0	0.1077855155
W-2_RB2out_S04_Middle	1.0	-2.246999979	0.0131923994	119746.0	0.014516497	16.0	879.0	0.0133616151
W-2_RB2out_S04_Backward	1.2142857313	-0.1487355977	0.0297027323	95942.0	0.0296794605	28.0	63.0	0.0291843005
W-2_RB2out_S04_Forward	1.0	0.4771392047	0.0181401763	146534.0	0.0171121527	28.0	186.0	0.019108193
W-2_RB3-_S04_Backward	1.0	1.0880155563	0.0121388864	95946.0	0.0150432494	12.0	24.0	0.0125070354
W-2_RB3-_S04_Forward	1.0714285374	0.0781556517	0.024256181	113008.0	0.0290125385	28.0	45.0	0.0247770082
W-2_RB3+_S04_Backward	1.0	-0.5277519226	0.0085485419	91072.0	0.0081833061	8.0	45.0	0.0087842587
W-2_RB3+_S04_Forward	1.0	-0.9810342789	0.007484463	107544.0	0.0089325588	8.0	111.0	0.0074388161
W-2_RB4-_S04_Backward	1.0	0.6188392639	0.0051364745	62520.0	0.0074217007	4.0	36.0	0.0063979523
W-2_RB4-_S04_Forward	1.0625	-0.0335114002	0.0301332586	85796.0	0.0354474559	32.0	227.0	0.0372977741
W-2_RB4+_S04_Backward	1.0	-0.6410716772	0.0272804108	72800.0	0.0295256209	20.0	72.0	0.0274725296
W-2_RB4+_S04_Forward	1.0588235855	-0.4558466673	0.0339219682	100490.0	0.0406649932	34.0	117.0	0.0338342115
W-2_RB4--_S04_Backward	1.0	0.9464015365	0.1250150651	24620.0	0.2129925489	54.0	37814.0	0.2193338722
W-2_RB4--_S04_Forward	1.1363636255	-1.0781658888	0.085125871	45464.0	0.1113867611	44.0	688.0	0.096779868
W-2_RB4++_S04_Backward	0.0	0.0	0.0	13960.0	0.0	0.0	37.0	0.0
W-2_RB4++_S04_Forward	0.0	0.0	0.0	25558.0	0.0	0.0	42.0	0.0
W-2_RB1in_S05_Backward	1.09375	-0.3094840646	0.1002394035	66768.0	0.106948182	64.0	167.0	0.0958543047
W-2_RB1in_S05_Forward	1.2448979616	-0.5100184679	0.1111665592	85694.0	0.1217269674	98.0	273.0	0.1143603921
W-2_RB1out_S05_Backward	1.0	0.8255819678	0.0214427877	63494.0	0.0212901849	14.0	86.0	0.0220493264
W-2_RB1out_S05_Forward	1.25	0.6798846126	0.0584234893	90548.0	0.0704611316	56.0	162.0	0.0618456528
W-2_RB2in_S05_Backward	1.0	-0.3516565561	0.0465938635	86562.0	0.056130223	46.0	149.0	0.0531411022
W-2_RB2in_S05_Forward	1.1714285612	-0.5337487459	0.0601578504	104666.0	0.0676733106	70.0	200.0	0.0668794066
W-2_RB2out_S05_Middle	1.0	1.0151830912	0.0226181634	58998.0	0.0427514873	20.0	77.0	0.0338994563
W-2_RB2out_S05_Backward	1.2000000477	0.8267067671	0.0556353554	49854.0	0.0674146488	30.0	119.0	0.0601757132
