Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.7613815069	0.3657436371	85.1207046509	2912.0	89.2829589844	2552.0	33177.0	87.6373672485
W-2_RB1in_S01_Forward	1.7986755371	0.3908570707	86.1793365479	3456.0	88.7856674194	3028.0	40373.0	87.615737915
W-2_RB1out_S01_Backward	1.7575981617	0.0203253906	90.5468521118	2974.0	93.3179702759	2706.0	20407.0	90.988571167
W-2_RB1out_S01_Forward	1.8738151789	0.018125644	91.7437133789	3684.0	93.9300994873	3404.0	24823.0	92.3995666504
W-2_RB2in_S01_Backward	1.6497622728	0.5240065455	90.2868347168	2750.0	93.3660888672	2528.0	18913.0	91.9272689819
W-2_RB2in_S01_Forward	1.9188529253	0.2760132849	93.2865905762	3520.0	94.7133789062	3308.0	25837.0	93.9772720337
W-2_RB2out_S01_Middle	1.7978260517	-0.0709119514	92.6449279785	2002.0	95.3642349243	1854.0	13646.0	92.6073913574
W-2_RB2out_S01_Backward	1.7344782352	-0.1302929074	92.1063308716	1656.0	94.126739502	1526.0	9630.0	92.1497573853
W-2_RB2out_S01_Forward	1.9369287491	-0.0642825216	93.8759231567	2352.0	95.7291641235	2214.0	15236.0	94.1326522827
W-2_RB3-_S01_Backward	1.7074073553	0.5616880059	92.0077514648	588.0	94.3319854736	542.0	4380.0	92.1768722534
W-2_RB3-_S01_Forward	1.6868932247	0.4934505522	94.70677948	874.0	96.2864685059	830.0	4754.0	94.965675354
W-2_RB3+_S01_Backward	1.5558252335	0.5115047097	93.0292205811	884.0	94.6949615479	824.0	5514.0	93.2126693726
W-2_RB3+_S01_Forward	1.6614481211	0.5400210023	94.9413604736	1082.0	95.9401702881	1026.0	6214.0	94.8243942261
W-2_RB4-_S01_Backward	1.6010638475	-0.2762877345	93.6570205688	410.0	91.5730361938	376.0	5410.0	91.707321167
W-2_RB4-_S01_Forward	1.8818181753	0.0113964714	88.0483398438	480.0	94.1747512817	442.0	5273.0	92.0833358765
W-2_RB4+_S01_Backward	1.5433526039	0.3384028971	88.085105896	398.0	95.2380981445	348.0	4064.0	87.4371871948
W-2_RB4+_S01_Forward	1.8314607143	0.0602354407	96.3004302979	558.0	96.6666641235	536.0	5209.0	96.0573501587
W-2_RB1in_S02_Backward	1.8364008665	0.3528962135	89.1437988281	7704.0	91.2380371094	6858.0	43387.0	89.0186920166
W-2_RB1in_S02_Forward	1.9541753531	0.063468501	94.2356033325	9176.0	94.6302185059	8624.0	57342.0	93.9843063354
W-2_RB1out_S02_Backward	1.9236947298	-0.5899426937	93.3229827881	6930.0	94.6328659058	6488.0	46931.0	93.6219329834
