Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.8127758503	0.3428013921	87.1126708984	8594.0	91.3111724854	7726.0	100657.0	89.8999252319
W-2_RB1in_S01_Forward	1.8002103567	0.3257581592	87.2752227783	10770.0	89.6786575317	9550.0	124525.0	88.6722412109
W-2_RB1out_S01_Backward	1.7356265783	-0.0856546685	89.4051361084	9126.0	92.0354003906	8170.0	63216.0	89.5244369507
W-2_RB1out_S01_Forward	1.9181991816	-0.0127781136	92.3603363037	11250.0	94.7708511353	10496.0	76726.0	93.2977828979
W-2_RB2in_S01_Backward	1.6563876867	0.5089834929	90.3656005859	8478.0	92.5848007202	7740.0	58314.0	91.2951202393
W-2_RB2in_S01_Forward	1.9282900095	0.2326149195	92.3932037354	10872.0	95.056640625	10246.0	82107.0	94.2420883179
W-2_RB2out_S01_Middle	1.7573279142	-0.0527493842	92.7109985352	6344.0	95.3833847046	5902.0	42247.0	93.0327911377
W-2_RB2out_S01_Backward	1.7639700174	-0.1214427352	92.5661392212	5226.0	94.9193954468	4824.0	30753.0	92.3076934814
W-2_RB2out_S01_Forward	1.9728506804	-0.0961921439	93.0937805176	7182.0	95.0051651001	6692.0	45610.0	93.1773910522
W-2_RB3-_S01_Backward	1.6305803061	0.4008710086	92.8127670288	1928.0	94.9029159546	1796.0	14513.0	93.1535263062
W-2_RB3-_S01_Forward	1.6790735722	0.4423629045	95.4402770996	2548.0	96.7242965698	2432.0	15396.0	95.4474105835
W-2_RB3+_S01_Backward	1.5543392897	0.5427325368	91.6678237915	2744.0	95.6043930054	2564.0	18216.0	93.4402313232
W-2_RB3+_S01_Forward	1.6909871101	0.5672932863	95.6983108521	3428.0	96.3994598389	3278.0	18420.0	95.6242675781
W-2_RB4-_S01_Backward	1.5633802414	-0.2608445287	93.8173675537	1362.0	95.3528442383	1282.0	19387.0	94.1262817383
W-2_RB4-_S01_Forward	1.8008981943	-0.2716594934	91.8918762207	1436.0	97.004989624	1350.0	18271.0	94.011138916
W-2_RB4+_S01_Backward	1.587108016	0.207143575	90.4083786011	1276.0	92.3893814087	1152.0	14923.0	90.2821273804
W-2_RB4+_S01_Forward	1.8216735125	0.1606586277	95.3012771606	1536.0	96.7340621948	1466.0	17653.0	95.4427032471
W-2_RB1in_S02_Backward	1.8398081064	0.3471989632	89.4860534668	24268.0	91.7364807129	21712.0	137748.0	89.4676055908
W-2_RB1in_S02_Forward	1.9493670464	0.0906192362	93.5365829468	29092.0	94.3973693848	27266.0	177519.0	93.7233657837
W-2_RB1out_S02_Backward	1.9138134718	-0.5815086961	93.2976913452	21906.0	94.4922409058	20406.0	144969.0	93.152557373
W-2_RB1out_S02_Forward	2.1757137775	-0.4067649841	95.291305542	29330.0	96.9072189331	27922.0	184905.0	95.1994552612
W-2_RB2in_S02_Backward	1.6252743006	0.6290144324	93.8341140747	16490.0	95.6388473511	15522.0	86181.0	94.129776001
W-2_RB2in_S02_Forward	1.591490984	0.4449819922	92.0482025146	17096.0	93.6961288452	15970.0	88193.0	93.4136657715
W-2_RB2out_S02_Middle	2.1591539383	-0.8234648108	94.2676696777	10350.0	94.0441207886	9664.0	123579.0	93.3719787598
W-2_RB2out_S02_Backward	1.9362047911	-0.7992553115	96.4291152954	10294.0	97.5337905884	9936.0	66541.0	96.5222473145
