Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.7775175571	0.3545506299	86.1638336182	7728.0	90.77784729	6838.0	85026.0	88.4834365845
W-2_RB1in_S01_Forward	1.8189505339	0.3538382053	87.0163116455	9064.0	90.1415557861	8070.0	104275.0	89.0335388184
W-2_RB1out_S01_Backward	1.7159059048	-0.0338147767	88.813873291	7962.0	90.8145599365	7072.0	53787.0	88.8219070435
W-2_RB1out_S01_Forward	1.9070346355	0.0006450088	92.6074981689	9564.0	94.5730819702	8896.0	64174.0	93.0154724121
W-2_RB2in_S01_Backward	1.6825908422	0.5751519203	90.7578201294	7476.0	93.0849456787	6842.0	49860.0	91.51953125
W-2_RB2in_S01_Forward	1.9181383848	0.2631582618	92.9119186401	8984.0	95.3366546631	8486.0	68316.0	94.4568099976
W-2_RB2out_S01_Middle	1.790173173	-0.0464675725	92.5820083618	5364.0	95.2200622559	4990.0	34517.0	93.0275878906
W-2_RB2out_S01_Backward	1.7236039639	-0.1205238849	93.1473388672	4602.0	95.8100585938	4282.0	24636.0	93.0465011597
W-2_RB2out_S01_Forward	2.0186982155	-0.1686194241	93.9695892334	6000.0	96.0470962524	5628.0	39899.0	93.8000030518
W-2_RB3-_S01_Backward	1.6005221605	0.3533035815	93.5562210083	1640.0	95.6896514893	1534.0	11012.0	93.5365829468
W-2_RB3-_S01_Forward	1.6933045387	0.5537068248	95.9737930298	1952.0	96.5352478027	1860.0	12331.0	95.2868881226
W-2_RB3+_S01_Backward	1.6065013409	0.5218482018	91.6502990723	2520.0	94.9865722656	2360.0	16266.0	93.6507949829
W-2_RB3+_S01_Forward	1.6885865927	0.4906951189	95.192024231	2776.0	96.1156997681	2658.0	16285.0	95.7492752075
W-2_RB4-_S01_Backward	1.6583629847	-0.2340021878	95.3063659668	1190.0	95.1401901245	1128.0	15602.0	94.7899169922
W-2_RB4-_S01_Forward	1.7237762213	-0.1294743568	94.5404815674	1232.0	95.463142395	1150.0	16001.0	93.3441543579
W-2_RB4+_S01_Backward	1.5520361662	0.3407087922	89.493019104	998.0	91.9239883423	884.0	11463.0	88.5771560669
W-2_RB4+_S01_Forward	1.7611408234	0.1405539215	94.9918365479	1188.0	96.1464309692	1130.0	13862.0	95.1178436279
W-2_RB1in_S02_Backward	1.8338816166	0.3290692568	89.1036224365	20532.0	91.3501358032	18274.0	115541.0	89.002532959
W-2_RB1in_S02_Forward	1.9465203285	0.0795600191	92.0567474365	24656.0	94.0746078491	23052.0	150739.0	93.4944839478
W-2_RB1out_S02_Backward	1.8986985683	-0.5680096149	93.5228881836	18300.0	94.922706604	17124.0	121726.0	93.5737762451
W-2_RB1out_S02_Forward	2.1848495007	-0.3812989593	95.2086257935	24766.0	96.9551620483	23590.0	153619.0	95.2515563965
W-2_RB2in_S02_Backward	1.6281913519	0.6383933425	93.7441253662	13920.0	95.3764877319	13112.0	72565.0	94.1954040527
W-2_RB2in_S02_Forward	1.5642899275	0.4262250662	91.5946578979	14426.0	93.568145752	13460.0	72137.0	93.3037567139
W-2_RB2out_S02_Middle	2.1347782612	-0.7450115085	93.3418197632	8894.0	93.5124359131	8268.0	102562.0	92.9615478516
