Chamber_Name,Cluster_Size_Mean_Value,Residuals_Mean_Value,Average_Strip_Efficiency,Expected_Occupancy,Fiducial_Cut_Efficiency,RPC_Occupancy_from_DT,RPC_Occupancy,Total_Efficiency
W-2_RB1in_S01_Backward,1.7379807234,0.3713933825,87.3964538574,1866.0,90.9638595581,1664.0,21441.0,89.1747055054
W-2_RB1in_S01_Forward,1.8288718462,0.352529794,89.0367279053,2350.0,90.3448257446,2098.0,27080.0,89.2765960693
W-2_RB1out_S01_Backward,1.7117853165,-0.0188379176,90.9429855347,1890.0,92.8311080933,1716.0,13096.0,90.7936477661
W-2_RB1out_S01_Forward,1.9377162457,-0.0207925718,93.48853302,2490.0,95.5882339478,2334.0,16372.0,93.7349395752
W-2_RB2in_S01_Backward,1.6833740473,0.5239467621,90.3536834717,1814.0,92.2979736328,1640.0,12631.0,90.4079360962
W-2_RB2in_S01_Forward,1.8853564262,0.1806369275,94.565574646,2216.0,95.5689849854,2104.0,16879.0,94.9458465576
W-2_RB2out_S01_Middle,1.795597434,-0.0783331245,94.1144866943,1364.0,95.9183654785,1278.0,9690.0,93.6950149536
W-2_RB2out_S01_Backward,1.6845238209,-0.2166749239,92.0873260498,1102.0,93.7219772339,1010.0,6342.0,91.6515426636
W-2_RB2out_S01_Forward,2.0202491283,-0.0887788162,92.8092575073,1396.0,94.7653427124,1290.0,9640.0,92.4068756104
W-2_RB3-_S01_Backward,1.6386138201,0.4647993743,89.6389846802,440.0,92.8205108643,404.0,3134.0,91.8181838989
W-2_RB3-_S01_Forward,1.7330508232,0.421030283,97.1891555786,494.0,97.6525878906,476.0,3121.0,96.3562698364
W-2_RB3+_S01_Backward,1.7205882072,0.6827972531,93.1727676392,588.0,95.6521759033,546.0,4149.0,92.8571395874
W-2_RB3+_S01_Forward,1.7448680401,0.5910702944,96.6427383423,710.0,96.7845687866,684.0,4195.0,96.3380279541
W-2_RB4-_S01_Backward,1.7919462919,0.0880568698,91.9116592407,326.0,93.571434021,298.0,3709.0,91.4110412598
W-2_RB4-_S01_Forward,1.8417266607,-0.2588911057,91.5208358765,304.0,96.9230804443,280.0,3632.0,92.1052627563
W-2_RB4+_S01_Backward,1.5759999752,0.1634185165,87.5,280.0,94.262298584,250.0,3327.0,89.2857131958
W-2_RB4+_S01_Forward,1.985611558,0.1925428361,92.6243362427,304.0,95.2755889893,278.0,4180.0,91.4473724365
W-2_RB1in_S02_Backward,1.8441385031,0.3592826426,88.7846374512,5028.0,91.7965164185,4514.0,28469.0,89.7772521973
W-2_RB1in_S02_Forward,1.9558721781,0.0463279635,91.6071929932,6212.0,94.0540542603,5774.0,37217.0,92.9491271973
W-2_RB1out_S02_Backward,1.9109141827,-0.5663918853,93.1703109741,4600.0,94.5054931641,4294.0,30185.0,93.3478240967
W-2_RB1out_S02_Forward,2.1589226723,-0.3862141669,94.1849746704,6358.0,96.6257705688,6026.0,38987.0,94.7782363892
W-2_RB2in_S02_Backward,1.6301196814,0.6389228106,92.7579727173,3388.0,94.9434432983,3178.0,18577.0,93.801651001
W-2_RB2in_S02_Forward,1.6021699905,0.4991256893,93.166885376,3562.0,93.4079589844,3330.0,18888.0,93.4868011475
W-2_RB2out_S02_Middle,2.1455497742,-0.6804289818,92.8128204346,2156.0,92.0616073608,1970.0,25493.0,91.3729095459
W-2_RB2out_S02_Backward,2.0178041458,-0.7775397897,96.3407363892,2124.0,97.8235931396,2038.0,14705.0,95.9510421753
W-2_RB2out_S02_Forward,1.988727808,-0.4848146737,95.7385787964,2648.0,97.1126098633,2516.0,15820.0,95.0151062012
W-2_RB3-_S02_Backward,1.4044526815,0.412529856,88.2136077881,1212.0,91.5637817383,1080.0,4730.0,89.1089096069
W-2_RB3-_S02_Forward,1.4172185659,0.6518930793,88.6566467285,1020.0,90.3755874634,906.0,4243.0,88.8235244751
W-2_RB3+_S02_Backward,1.4700747728,0.1641328931,87.6205596924,1818.0,90.0,1606.0,7581.0,88.3388366699
W-2_RB3+_S02_Forward,1.4289215803,0.2264786512,95.2851867676,1726.0,95.8994674683,1642.0,7339.0,95.1332550049
W-2_RB4-_S02_Backward,1.5935484171,0.4069904089,90.7160491943,350.0,93.1034469604,316.0,9570.0,90.2857131958
W-2_RB4-_S02_Forward,1.4846625328,0.3208292127,85.1729049683,390.0,91.6666717529,344.0,10921.0,88.2051315308
W-2_RB4+_S02_Backward,1.4075828791,0.2769577801,91.3547210693,940.0,91.5048522949,852.0,12149.0,90.6382980347
W-2_RB4+_S02_Forward,1.6588486433,0.1124979109,90.9110870361,1052.0,91.0284423828,950.0,13361.0,90.30418396
W-2_RB1in_S03_Backward,1.6808488369,-0.1506519616,89.6370239258,20794.0,92.1725540161,18836.0,86690.0,90.5838241577
W-2_RB1in_S03_Forward,1.7871515751,-0.3114513755,90.3263244629,30198.0,92.2150344849,27654.0,96786.0,91.5755996704
W-2_RB1out_S03_Backward,1.6345102787,0.106245853,93.0173492432,18988.0,93.1398773193,17634.0,67600.0,92.869178772
