Chamber_Name,Cluster_Size_Mean_Value,Residuals_Mean_Value,Average_Strip_Efficiency,Expected_Occupancy,Fiducial_Cut_Efficiency,RPC_Occupancy_from_DT,RPC_Occupancy,Total_Efficiency
W-2_RB1in_S01_Backward,1.7379575968,0.3508725464,89.9488372803,1146.0,92.5196838379,1042.0,12212.0,90.9249572754
W-2_RB1in_S01_Forward,1.8154656887,0.4208934307,85.6920394897,1310.0,89.1228103638,1142.0,13715.0,87.1755752563
W-2_RB1out_S01_Backward,1.7020484209,-0.0637483299,89.5243453979,1204.0,91.9776153564,1078.0,8221.0,89.5348815918
W-2_RB1out_S01_Forward,1.9023622274,-0.0287456065,93.0757141113,1364.0,95.7024841309,1274.0,10022.0,93.4017562866
W-2_RB2in_S01_Backward,1.6149067879,0.5565820932,90.0931777954,1066.0,93.9914169312,968.0,7696.0,90.8067550659
W-2_RB2in_S01_Forward,1.9314194918,0.2077692747,94.2793731689,1354.0,94.5,1272.0,11252.0,93.9438705444
W-2_RB2out_S01_Middle,1.6831169128,-0.0735295787,93.1999435425,824.0,95.5882339478,774.0,5167.0,93.9320373535
W-2_RB2out_S01_Backward,1.7630661726,-0.0860639066,92.9137649536,628.0,95.5465621948,582.0,4238.0,92.675163269
W-2_RB2out_S01_Forward,1.9186046124,-0.075223811,92.8479766846,926.0,95.7983169556,866.0,5653.0,93.5205154419
W-2_RB3-_S01_Backward,1.5909091234,0.3688011467,91.6458282471,248.0,90.625,222.0,1603.0,89.51612854
W-2_RB3-_S01_Forward,1.7883211374,0.3669245541,95.9649124146,288.0,96.0629959106,274.0,1653.0,95.1388931274
W-2_RB3+_S01_Backward,1.6607142687,0.5551589727,94.4627609253,356.0,97.9591827393,336.0,2510.0,94.3820266724
W-2_RB3+_S01_Forward,1.7727272511,0.5229763985,96.1053009033,412.0,97.1428604126,396.0,2693.0,96.1165084839
W-2_RB4-_S01_Backward,1.5942028761,-0.1722800285,91.0416641235,152.0,88.8888931274,138.0,2265.0,90.7894744873
W-2_RB4-_S01_Forward,1.7634408474,-0.2868958414,90.6593399048,204.0,92.0454559326,186.0,2441.0,91.1764678955
W-2_RB4+_S01_Backward,1.5915492773,0.405205369,89.7916641235,158.0,89.0625,142.0,1738.0,89.8734130859
W-2_RB4+_S01_Forward,1.7717391253,0.1327908039,93.8211364746,198.0,96.6666641235,186.0,2108.0,93.9393920898
W-2_RB1in_S02_Backward,1.8435374498,0.3059805334,88.1830596924,2980.0,91.3043518066,2650.0,16664.0,88.9261703491
W-2_RB1in_S02_Forward,1.9591584206,0.1243093982,94.3074798584,3430.0,95.0681381226,3246.0,21085.0,94.6355667114
W-2_RB1out_S02_Backward,1.8944765329,-0.6032519341,92.5548324585,2642.0,93.6796569824,2434.0,17204.0,92.1271743774
W-2_RB1out_S02_Forward,2.2160565853,-0.3919150829,96.5940093994,3538.0,97.8022003174,3408.0,22345.0,96.3256072998
W-2_RB2in_S02_Backward,1.5973085165,0.6359405518,94.8495864868,2048.0,95.9518585205,1938.0,11066.0,94.62890625
W-2_RB2in_S02_Forward,1.588414669,0.4309820831,91.7753372192,2126.0,93.1958770752,1968.0,10917.0,92.5681991577
W-2_RB2out_S02_Middle,2.1021504402,-0.7755473256,93.2851638794,1244.0,94.3204879761,1156.0,14985.0,92.9260406494
W-2_RB2out_S02_Backward,1.9251247644,-0.7704753876,95.8532028198,1264.0,96.7803039551,1212.0,8050.0,95.8860778809
W-2_RB2out_S02_Forward,2.128172636,-0.5922448039,97.0139160156,1650.0,98.3257217407,1596.0,9602.0,96.7272720337
W-2_RB3-_S02_Backward,1.4836601019,0.4271042943,88.431427002,692.0,90.7473297119,612.0,2867.0,88.4393005371
W-2_RB3-_S02_Forward,1.4724137783,0.686357975,90.4768066406,648.0,90.2173919678,584.0,2843.0,90.1234588623
W-2_RB3+_S02_Backward,1.3897958994,0.1886993349,89.6692733765,1090.0,92.3413543701,980.0,4286.0,89.9082565308
W-2_RB3+_S02_Forward,1.4113785028,0.1838850379,92.9074249268,976.0,95.9619903564,918.0,3940.0,94.0573730469
W-2_RB4-_S02_Backward,1.3218390942,0.2631749809,83.3208007812,212.0,87.0967712402,178.0,5682.0,83.9622650146
W-2_RB4-_S02_Forward,1.4716981649,0.1282725334,94.6589508057,232.0,95.8762893677,216.0,7059.0,93.1034469604
W-2_RB4+_S02_Backward,1.3991416693,0.3030378222,92.07837677,514.0,90.7894744873,468.0,6696.0,91.0505828857
W-2_RB4+_S02_Forward,1.6797152758,0.1306940317,90.2555847168,634.0,89.9280548096,572.0,8328.0,90.2208175659
W-2_RB1in_S03_Backward,1.6726539135,-0.1690190285,90.132850647,12002.0,92.7694702148,10946.0,50527.0,91.2014694214
W-2_RB1in_S03_Forward,1.7965477705,-0.3107776046,91.2228622437,17362.0,92.5844726562,15976.0,56563.0,92.0170516968
W-2_RB1out_S03_Backward,1.6343517303,0.1403333694,93.2130126953,11018.0,93.5651855469,10268.0,40640.0,93.1929626465
W-2_RB1out_S03_Forward,1.820904851,0.0613108352,92.7112426758,17550.0,95.145362854,16204.0,48957.0,92.3304824829
W-2_RB2in_S03_Backward,1.7809785604,-0.0819095299,94.5739517212,10014.0,96.0222015381,9490.0,41596.0,94.767326355
W-2_RB2in_S03_Forward,1.7583940029,-0.0147059485,87.0794525146,13132.0,86.4193344116,11338.0,51890.0,86.3387145996
W-2_RB2out_S03_Middle,1.8098927736,-0.0316707119,91.0288543701,7596.0,88.8705444336,6764.0,34671.0,89.0468673706
W-2_RB2out_S03_Backward,1.5249028206,0.0460143611,92.3685913086,6088.0,93.6507949829,5678.0,21783.0,93.2654418945
W-2_RB2out_S03_Forward,1.788220048,-0.1536819488,95.5495376587,9704.0,96.7454071045,9330.0,34559.0,96.1459197998
W-2_RB3-_S03_Backward,1.4530184269,0.0528810024,91.0084991455,4206.0,94.0165863037,3822.0,12994.0,90.8701858521
W-2_RB3-_S03_Forward,1.448238492,0.1586831957,91.7714614868,4026.0,94.7941894531,3716.0,14239.0,92.3000488281
W-2_RB3+_S03_Backward,0.0,0.0,0.0,7154.0,0.0,0.0,22.0,0.0
W-2_RB3+_S03_Forward,0.0,0.0,0.0,9086.0,0.0,0.0,12.0,0.0
W-2_RB4-_S03_Backward,1.4982699156,0.55869627,90.1535110474,652.0,90.4761886597,586.0,18237.0,89.8773040771
W-2_RB4-_S03_Forward,1.6480938196,0.3607822061,79.5548248291,884.0,77.7777786255,694.0,12672.0,78.5067825317
W-2_RB4+_S03_Backward,1.4837261438,0.1539673805,92.531829834,3858.0,93.7315216064,3582.0,31697.0,92.8460388184
W-2_RB4+_S03_Forward,1.5776743889,-0.1693113595,91.4969711304,4726.0,92.6601028442,4334.0,30422.0,91.7054595947
W-2_RB1in_S04_Backward,1.5221301317,-0.0915627778,86.6223068237,16358.0,89.1332092285,14286.0,36844.0,87.3334197998
W-2_RB1in_S04_Forward,1.6283740997,-0.0733463243,87.4084854126,21874.0,87.9023895264,19182.0,52175.0,87.693145752
W-2_RB1out_S04_Backward,1.9103010893,0.119351849,78.0365371704,15370.0,82.6962661743,12646.0,51372.0,82.2771606445
W-2_RB1out_S04_Forward,1.7385530472,0.2046552747,90.8341140747,22406.0,92.3651275635,20388.0,67998.0,90.9934844971
W-2_RB2in_S04_Backward,1.5300461054,-0.0974418521,90.0862197876,19850.0,91.7758560181,17878.0,51934.0,90.0654907227
W-2_RB2in_S04_Forward,1.5965796709,-0.107419692,92.2366867065,26380.0,92.7548675537,24386.0,70211.0,92.4412460327
W-2_RB2out_S04_Middle,1.4261437654,0.1373612285,80.623336792,15300.0,80.0194320679,12286.0,36372.0,80.3006515503
W-2_RB2out_S04_Backward,1.5849056244,0.1528371423,88.5150527954,11568.0,89.0246429443,10214.0,31348.0,88.2952957153
W-2_RB2out_S04_Forward,1.6964226961,0.0496426597,95.8558654785,19320.0,96.7310943604,18508.0,48612.0,95.7971038818
W-2_RB3-_S04_Backward,1.4859985113,-0.0770238414,93.1851959229,11612.0,95.6459197998,10910.0,27047.0,93.9545288086
W-2_RB3-_S04_Forward,1.5110348463,-0.119922772,90.6929168701,14792.0,91.5123901367,13480.0,33399.0,91.1303405762
W-2_RB3+_S04_Backward,1.6618458033,-0.3118776083,94.5437088013,11140.0,97.2160339355,10536.0,34450.0,94.5781021118
