Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.7948014736	0.3404624164	87.8296127319	23756.0	90.7444458008	21186.0	275102.0	89.181678772
W-2_RB1in_S01_Forward	1.8321779966	0.3467386365	87.35912323	28048.0	89.964630127	24912.0	336919.0	88.8191680908
W-2_RB1out_S01_Backward	1.7414746284	-0.0615802407	89.4058990479	24310.0	91.9898071289	21776.0	166764.0	89.5763015747
W-2_RB1out_S01_Forward	1.9148719311	0.0357265361	92.6891174316	29604.0	94.8350982666	27666.0	201861.0	93.4535827637
W-2_RB2in_S01_Backward	1.6863619089	0.5375993848	90.9481735229	22434.0	93.8552474976	20702.0	154225.0	92.2795791626
W-2_RB2in_S01_Forward	1.9571168423	0.2501647472	92.7460174561	28204.0	95.0337677002	26586.0	216736.0	94.2632293701
W-2_RB2out_S01_Middle	1.7665482759	-0.0510105006	93.5357666016	16914.0	95.550819397	15850.0	113790.0	93.7093582153
W-2_RB2out_S01_Backward	1.7548644543	-0.1327323914	93.0106430054	13554.0	95.3159866333	12588.0	80474.0	92.8729553223
W-2_RB2out_S01_Forward	2.0038664341	-0.0465394445	92.8770294189	18478.0	95.0555419922	17216.0	116824.0	93.1702575684
W-2_RB3-_S01_Backward	1.5822894573	0.4103351533	93.1704559326	5026.0	94.3920822144	4662.0	37480.0	92.7576599121
W-2_RB3-_S01_Forward	1.741891861	0.4689469039	94.6637268066	6276.0	95.9454345703	5938.0	40673.0	94.614402771
W-2_RB3+_S01_Backward	1.6680473089	0.5348697901	93.436088562	7290.0	95.2291259766	6802.0	47466.0	93.3059005737
W-2_RB3+_S01_Forward	1.7218590975	0.5557094216	95.6344985962	8700.0	96.0533294678	8314.0	48427.0	95.5632171631
W-2_RB4-_S01_Backward	1.6065667868	-0.2761069238	93.2807159424	3730.0	94.2874679565	3494.0	48725.0	93.6729202271
W-2_RB4-_S01_Forward	1.780389905	-0.2080724388	93.3076095581	3746.0	95.1174316406	3520.0	50351.0	93.9668960571
W-2_RB4+_S01_Backward	1.5236486197	0.1962247044	88.9457855225	3320.0	91.788444519	2964.0	37182.0	89.2771072388
W-2_RB4+_S01_Forward	1.8648947477	0.2215253413	94.8053817749	3808.0	96.5538101196	3626.0	45290.0	95.2205886841
W-2_RB1in_S02_Backward	1.8410525322	0.3387002051	89.7648620605	64772.0	91.9361190796	58092.0	364971.0	89.6868972778
W-2_RB1in_S02_Forward	1.9697636366	0.0783409253	93.4919052124	77780.0	94.5620727539	73016.0	484453.0	93.8750305176
W-2_RB1out_S02_Backward	1.9253938198	-0.5746415854	92.7387237549	58450.0	95.0373916626	54896.0	389834.0	93.9195861816
W-2_RB1out_S02_Forward	2.1938512325	-0.3854541183	95.3400497437	78668.0	97.1475372314	74932.0	498380.0	95.2509307861
W-2_RB2in_S02_Backward	1.6361012459	0.6072730422	92.7235031128	44952.0	95.4710617065	42354.0	234949.0	94.2205047607
W-2_RB2in_S02_Forward	1.5960412025	0.437967509	92.2433319092	45498.0	93.5148773193	42434.0	232504.0	93.2656402588
W-2_RB2out_S02_Middle	2.1215264797	-0.7367841005	94.1436309814	28542.0	94.6101989746	26700.0	326349.0	93.5463562012
