Chamber_Name	Cluster_Size_Mean_Value	Residuals_Mean_Value	Average_Strip_Efficiency	Expected_Occupancy	Fiducial_Cut_Efficiency	RPC_Occupancy_from_DT	RPC_Occupancy	Total_Efficiency
W-2_RB1in_S01_Backward	1.7990267277	0.3328607976	87.314163208	12472.0	91.0548400879	11118.0	143958.0	89.1436843872
W-2_RB1in_S01_Forward	1.8414542675	0.347651422	86.7700500488	14960.0	90.1803588867	13320.0	173860.0	89.0374298096
W-2_RB1out_S01_Backward	1.7493060827	-0.0465189815	89.3364868164	12912.0	92.1568603516	11564.0	89397.0	89.5600967407
W-2_RB1out_S01_Forward	1.9288363457	0.0251952931	93.0675354004	15632.0	95.4611816406	14684.0	108375.0	93.9355163574
W-2_RB2in_S01_Backward	1.675160408	0.5447941422	91.2246322632	12208.0	93.7408218384	11258.0	83643.0	92.2182235718
W-2_RB2in_S01_Forward	1.944381237	0.2379002124	93.4272003174	15012.0	95.4022979736	14214.0	121851.0	94.6842575073
W-2_RB2out_S01_Middle	1.79467237	-0.0471244827	93.7582473755	9046.0	95.5878295898	8524.0	60332.0	94.2294921875
W-2_RB2out_S01_Backward	1.7909196615	-0.1098402441	92.784286499	7480.0	95.7713928223	6934.0	43654.0	92.7005386353
W-2_RB2out_S01_Forward	1.9713014364	-0.1052871943	93.346282959	9716.0	95.025642395	9078.0	62892.0	93.4335098267
W-2_RB3-_S01_Backward	1.6763551235	0.4435521662	91.8504867554	2786.0	94.0235671997	2554.0	19958.0	91.6726455688
W-2_RB3-_S01_Forward	1.718503952	0.4513885677	95.0075149536	3218.0	96.7414932251	3064.0	21195.0	95.2144241333
W-2_RB3+_S01_Backward	1.6736510992	0.5601852536	94.0975646973	4092.0	95.7183151245	3836.0	26389.0	93.743888855
W-2_RB3+_S01_Forward	1.7287430763	0.545450449	93.8447189331	4522.0	96.408416748	4342.0	26356.0	96.0194549561
W-2_RB4-_S01_Backward	1.6176470518	-0.216917485	94.0602722168	1826.0	94.5775527954	1710.0	26832.0	93.647315979
W-2_RB4-_S01_Forward	1.8041884899	-0.1608283222	92.4678573608	2052.0	95.0913238525	1924.0	25839.0	93.7621841431
W-2_RB4+_S01_Backward	1.538461566	0.1764324754	87.798614502	1820.0	90.3598937988	1590.0	20445.0	87.3626327515
W-2_RB4+_S01_Forward	1.7992087603	0.0824921131	94.4173660278	2148.0	96.373626709	2036.0	23989.0	94.7858428955
W-2_RB1in_S02_Backward	1.8561354876	0.3465672731	89.1470489502	34068.0	91.6352386475	30406.0	193049.0	89.2509078979
W-2_RB1in_S02_Forward	1.9676020145	0.0855513588	93.2449035645	40950.0	94.5265197754	38428.0	254128.0	93.8412704468
W-2_RB1out_S02_Backward	1.9235446453	-0.5815349817	94.2055740356	30546.0	95.2852859497	28718.0	205826.0	94.0155792236
W-2_RB1out_S02_Forward	2.1800906658	-0.3952297568	94.2886734009	41182.0	97.0920639038	39204.0	262631.0	95.1969299316
W-2_RB2in_S02_Backward	1.6476422548	0.6229202151	93.5932846069	23604.0	95.3388977051	22218.0	123954.0	94.128112793
W-2_RB2in_S02_Forward	1.6022034883	0.4296548963	92.5279846191	24118.0	93.146156311	22376.0	122260.0	92.7771835327
W-2_RB2out_S02_Middle	2.1303567886	-0.7878375649	93.6815032959	14890.0	94.1516494751	13876.0	171420.0	93.1900634766
W-2_RB2out_S02_Backward	1.9708931446	-0.8143863082	96.6817703247	14700.0	97.8455429077	14206.0	94474.0	96.6394577026
W-2_RB2out_S02_Forward	2.0055706501	-0.574280858	95.3834381104	17918.0	97.4631576538	17102.0	108298.0	95.4459228516
W-2_RB3-_S02_Backward	1.4374475479	0.4680022597	89.6097183228	8054.0	90.9647750854	7176.0	35030.0	89.0985870361
W-2_RB3-_S02_Forward	1.5155131817	0.6414761543	90.3582611084	7482.0	91.6480712891	6754.0	29411.0	90.2699813843
W-2_RB3+_S02_Backward	1.4218521118	0.1862724274	87.7021408081	12338.0	90.5060882568	10950.0	51648.0	88.7501983643
W-2_RB3+_S02_Forward	1.4705340862	0.1255746633	93.0395050049	11678.0	94.5017852783	10928.0	50016.0	93.5776672363
W-2_RB4-_S02_Backward	1.4861822128	0.4786877334	91.2665863037	2210.0	93.0599365234	1982.0	64712.0	89.6832580566
W-2_RB4-_S02_Forward	1.6124660969	0.3826521337	85.6065444946	2608.0	91.5454559326	2296.0	77669.0	88.0368118286
W-2_RB4+_S02_Backward	1.4471154213	0.3379998207	90.5111083984	6456.0	91.8534317017	5848.0	84228.0	90.5824050903
W-2_RB4+_S02_Forward	1.6823014021	0.3151226044	90.555015564	7176.0	91.1774139404	6496.0	94180.0	90.5239715576
W-2_RB1in_S03_Backward	1.6728956699	-0.1376025379	90.4280700684	138716.0	92.7272415161	126260.0	586622.0	91.0205001831
W-2_RB1in_S03_Forward	1.7897213697	-0.3212512136	90.3327789307	201016.0	92.2334671021	184192.0	656344.0	91.6305160522
W-2_RB1out_S03_Backward	1.6393383741	0.1197321787	93.250869751	127206.0	93.5466384888	118418.0	461034.0	93.0915222168
W-2_RB1out_S03_Forward	1.8391717672	0.0720750019	92.2706985474	202164.0	95.1176528931	186976.0	572131.0	92.4872894287
W-2_RB2in_S03_Backward	1.776247859	-0.0857993364	94.7629165649	113344.0	96.3374404907	107834.0	482325.0	95.1386947632
W-2_RB2in_S03_Forward	1.7691011429	-0.0102770263	87.278427124	151888.0	86.5916137695	131398.0	601916.0	86.5097961426
W-2_RB2out_S03_Middle	1.825310111	-0.0203588642	90.6626586914	85168.0	89.3003845215	76070.0	396324.0	89.3175811768
W-2_RB2out_S03_Backward	1.5181256533	0.0478844307	92.7873764038	68054.0	93.7808380127	63290.0	242329.0	92.9996795654
W-2_RB2out_S03_Forward	1.7739225626	-0.1403471828	95.1330947876	113904.0	96.4170074463	108988.0	401863.0	95.6840896606
W-2_RB3-_S03_Backward	1.4824771881	0.0672343746	90.7501983643	47114.0	93.5757598877	42786.0	157058.0	90.8137664795
W-2_RB3-_S03_Forward	1.4382368326	0.1276691258	92.0313034058	45868.0	94.6859893799	42488.0	168701.0	92.6310272217
W-2_RB3+_S03_Backward	0.0	0.0	0.0	80362.0	0.0	0.0	72.0	0.0
W-2_RB3+_S03_Forward	0.0	0.0	0.0	104546.0	0.0	0.0	81.0	0.0
W-2_RB4-_S03_Backward	1.643389225	0.6315563321	91.2378540039	7184.0	92.3740005493	6472.0	220674.0	90.0890884399
W-2_RB4-_S03_Forward	1.6464351416	0.3283382654	79.1441268921	9774.0	77.7510223389	7634.0	153452.0	78.105178833
W-2_RB4+_S03_Backward	1.4594248533	0.0997702107	92.9372406006	42288.0	94.0238189697	39368.0	374198.0	93.0949707031
W-2_RB4+_S03_Forward	1.6059896946	-0.1323231757	91.6624069214	53634.0	92.6421279907	49376.0	359769.0	92.0610046387
W-2_RB1in_S04_Backward	1.5274856091	-0.0950650424	87.1077194214	188748.0	89.6582336426	165624.0	419201.0	87.7487411499
W-2_RB1in_S04_Forward	1.6247763634	-0.065152213	87.247428894	252772.0	88.0643997192	222004.0	596780.0	87.8277664185
W-2_RB1out_S04_Backward	1.9327150583	0.1214959696	77.861869812	177820.0	81.7185440063	145120.0	601988.0	81.6106185913
W-2_RB1out_S04_Forward	1.7503409386	0.2039467245	91.0193786621	258358.0	92.3319244385	235380.0	793222.0	91.1061401367
W-2_RB2in_S04_Backward	1.5283185244	-0.0927568153	89.5271987915	230048.0	91.6981582642	206942.0	588820.0	89.9560089111
W-2_RB2in_S04_Forward	1.5955634117	-0.1145306155	91.9271850586	303732.0	92.6044845581	280174.0	802618.0	92.2438201904
W-2_RB2out_S04_Middle	1.4203590155	0.1194083244	79.6690216064	177576.0	78.9790802002	141066.0	429611.0	79.4397888184
W-2_RB2out_S04_Backward	1.572140336	0.1584272981	88.5118103027	133450.0	88.8790283203	117908.0	349683.0	88.3536911011
W-2_RB2out_S04_Forward	1.683594346	0.0460546538	95.594367981	222342.0	96.7036819458	213096.0	553544.0	95.8415374756
W-2_RB3-_S04_Backward	1.4986225367	-0.1030513123	93.546585083	134942.0	95.7028884888	126804.0	310874.0	93.9692611694
W-2_RB3-_S04_Forward	1.5125863552	-0.1096485108	90.6887130737	171986.0	91.279586792	156316.0	382407.0	90.8887939453
W-2_RB3+_S04_Backward	1.6576590538	-0.3355570436	94.4161300659	128344.0	97.1016998291	121180.0	402383.0	94.4181289673
W-2_RB3+_S04_Forward	1.7861555815	-0.3161810338	95.4341506958	161420.0	97.4600830078	154276.0	520066.0	95.5742797852
W-2_RB4-_S04_Backward	1.4287062883	-0.0929609984	88.1696395874	88094.0	91.8891830444	78752.0	313019.0	89.3954162598
W-2_RB4-_S04_Forward	1.4846175909	-0.0748652965	92.6152572632	129536.0	94.5331192017	120984.0	395568.0	93.3979721069
W-2_RB4+_S04_Backward	1.3511921167	-0.5089949965	90.9267425537	102342.0	92.9825744629	93014.0	296476.0	90.8854598999
W-2_RB4+_S04_Forward	1.4735687971	-0.492477715	90.2210922241	150268.0	91.7695846558	135696.0	368894.0	90.3026580811
W-2_RB4--_S04_Backward	1.3015570641	0.2949531674	63.2632980347	34502.0	88.3986206055	29526.0	160180.0	85.5776519775
W-2_RB4--_S04_Forward	1.4176799059	0.0949117765	85.0183334351	66284.0	84.7361297607	55846.0	275093.0	84.2526092529
W-2_RB4++_S04_Backward	1.5567332506	-0.6608242989	89.2071533203	20168.0	93.8026657104	17994.0	203705.0	89.2205505371
W-2_RB4++_S04_Forward	1.5036251545	-0.7716781497	78.6076812744	36646.0	81.250869751	29306.0	194227.0	79.9705276489
W-2_RB1in_S05_Backward	1.6710704565	-0.6704380512	86.9253616333	92432.0	88.9407577515	81194.0	312753.0	87.8418731689
W-2_RB1in_S05_Forward	1.8917500973	-0.5803651214	93.088684082	124336.0	94.8989028931	117142.0	414751.0	94.2140655518
W-2_RB1out_S05_Backward	1.6096155643	0.8689597249	92.174659729	88284.0	92.9570617676	81712.0	285078.0	92.555847168
W-2_RB1out_S05_Forward	1.6562787294	0.7635239363	89.4545593262	130686.0	91.1140060425	117934.0	341706.0	90.2422637939
W-2_RB2in_S05_Backward	1.6430133581	-0.3515187502	93.5133132935	120106.0	95.7287597656	113206.0	619287.0	94.2550735474
W-2_RB2in_S05_Forward	1.7151985168	-0.8360025287	92.8682937622	152906.0	93.7258377075	142900.0	735340.0	93.4561080933
W-2_RB2out_S05_Middle	1.8324000835	0.88735497	94.4893188477	83726.0	95.4224700928	78768.0	550027.0	94.0783004761
W-2_RB2out_S05_Backward	1.5895127058	0.9132229686	94.3104476929	68428.0	95.0916595459	64406.0	264389.0	94.1222915649
W-2_RB2out_S05_Forward	1.7442623377	0.9406585097	91.9474182129	107328.0	96.1641464233	98766.0	395433.0	92.0225830078
W-2_RB3-_S05_Backward	1.777777791	-0.8406254053	0.4859900475	53858.0	0.4677639902	218.0	687.0	0.4047681093
W-2_RB3-_S05_Forward	1.1785714626	-0.6587850451	0.1525695771	59444.0	0.2015668899	112.0	349.0	0.1884126216
W-2_RB3+_S05_Backward	1.5742605925	-0.9166460633	92.4485397339	33976.0	94.3382263184	31124.0	119652.0	91.6058425903
W-2_RB3+_S05_Forward	1.6622691154	-0.7498294115	94.8387908936	27426.0	96.2020874023	25950.0	113567.0	94.6182403564
W-2_RB4-_S05_Backward	1.5509825945	-0.5119145513	93.1091995239	34802.0	94.8167953491	32448.0	201133.0	93.2360229492
W-2_RB4-_S05_Forward	1.7139242887	-0.5704920292	92.6516418457	38726.0	93.7451400757	35942.0	241511.0	92.8110275269
W-2_RB4+_S05_Backward	0.0	0.0	0.0	8592.0	0.0	0.0	0.0	0.0
W-2_RB4+_S05_Forward	0.0	0.0	0.0	10360.0	0.0	0.0	0.0	0.0
W-2_RB1in_S06_Backward	1.8120927811	-0.9992013574	89.3303604126	21892.0	91.6779937744	19710.0	131008.0	90.0328903198
W-2_RB1in_S06_Forward	1.9356215	-0.9542927146	92.5883102417	22254.0	93.7939376831	20704.0	131681.0	93.0349578857
W-2_RB1out_S06_Backward	2.0710508823	1.3012161255	95.7885513306	20942.0	97.5486984253	20116.0	127035.0	96.0557785034
W-2_RB1out_S06_Forward	2.1073920727	1.2694722414	90.6912689209	24396.0	93.4393844604	22516.0	147579.0	92.2938156128
W-2_RB2in_S06_Backward	0.0	0.0	0.0	23818.0	0.0	0.0	0.0	0.0
W-2_RB2in_S06_Forward	0.0	0.0	0.0	22954.0	0.0	0.0	16.0	0.0
W-2_RB2out_S06_Middle	1.8303254843	1.1686799526	91.985824585	14110.0	94.2078018188	13090.0	102700.0	92.7710800171
W-2_RB2out_S06_Backward	1.645909071	1.4028898478	93.2736282349	14240.0	94.799331665	13244.0	69513.0	93.0056152344
W-2_RB2out_S06_Forward	1.7868074179	1.2875976562	94.4450759888	16222.0	96.7861557007	15310.0	74685.0	94.3780059814
W-2_RB3-_S06_Backward	1.4883435965	-0.9653978348	93.1330032349	8832.0	93.8873977661	8182.0	5812058.0	92.6403961182
W-2_RB3-_S06_Forward	1.5469377041	-1.0535792112	95.2187652588	8444.0	95.5752182007	8038.0	43351.0	95.1918563843
W-2_RB3+_S06_Backward	1.3991388083	-1.2458752394	90.2927627563	6660.0	94.303565979	6046.0	28415.0	90.7807846069
W-2_RB3+_S06_Forward	1.5932384729	-1.1750180721	94.8002471924	5986.0	96.1274719238	5662.0	29484.0	94.5873641968
W-2_RB4-_S06_Backward	1.51841259	-0.6654195786	91.91065979	6102.0	92.7877426147	5608.0	52235.0	91.904296875
W-2_RB4-_S06_Forward	1.4990497828	-0.8485528827	73.344367981	7088.0	75.2296600342	5290.0	45176.0	74.6331787109
W-2_RB4+_S06_Backward	1.7139588594	-1.1265509129	92.6841888428	1914.0	94.3733978271	1766.0	53693.0	92.2675018311
W-2_RB4+_S06_Forward	1.7022175789	-1.2349691391	84.935333252	2258.0	89.0692672729	1952.0	68942.0	86.4481887817
W-2_RB1in_S07_Backward	0.0	0.0	0.0	11154.0	0.0	0.0	3.0	0.0
W-2_RB1in_S07_Forward	0.0	0.0	0.0	12988.0	0.0	0.0	34.0	0.0
W-2_RB1out_S07_Backward	1.8432271481	-0.1942860633	93.2773590088	10810.0	95.9938049316	10084.0	77466.0	93.283996582
W-2_RB1out_S07_Forward	2.1598062515	-0.2621903121	88.0972518921	12806.0	93.2309951782	11662.0	85325.0	91.0666885376
W-2_RB2in_S07_Backward	2.0387144089	-0.6420400143	94.6970443726	5796.0	96.3665084839	5514.0	65000.0	95.1345748901
W-2_RB2in_S07_Forward	1.7078803778	-0.7647596598	74.4137496948	5700.0	78.97215271	4448.0	51953.0	78.0350875854
W-2_RB2out_S07_Middle	1.8149911165	0.9754614234	93.2974014282	3674.0	95.7756195068	3432.0	33853.0	93.4131774902
W-2_RB2out_S07_Backward	1.7792041302	0.996049583	91.1854324341	3448.0	94.7707748413	3148.0	24203.0	91.2993011475
W-2_RB2out_S07_Forward	1.7545146942	0.9840866923	91.0786895752	3924.0	93.884185791	3606.0	27953.0	91.8960266113
W-2_RB3-_S07_Backward	1.7460087538	-0.8825650215	77.7313919067	1804.0	77.8497390747	1400.0	2817639.0	77.6053161621
W-2_RB3-_S07_Forward	1.6578073502	-0.886202395	74.8568267822	1676.0	73.8419570923	1232.0	14688.0	73.508354187
W-2_RB3+_S07_Backward	2.0045146942	-0.4719514549	85.5296478271	1028.0	90.8878479004	892.0	173048.0	86.7704238892
W-2_RB3+_S07_Forward	2.1651163101	-1.058586359	94.3149719238	962.0	96.7088546753	900.0	3074023.0	93.5550918579
W-2_RB4-_S07_Backward	1.8358662128	-0.4127737284	86.3751525879	774.0	87.7551040649	666.0	22370.0	86.0465087891
W-2_RB4-_S07_Forward	2.4311926365	-0.4593244493	64.3874740601	788.0	56.5714302063	462.0	17470.0	58.6294403076
W-2_RB4+_S07_Backward	1.6431372166	0.0928862542	92.3569107056	558.0	94.5147705078	518.0	15219.0	92.8315429688
W-2_RB4+_S07_Forward	1.7426160574	0.0729242414	90.3097991943	538.0	92.2413787842	482.0	16752.0	89.5910797119
W-2_RB1in_S08_Backward	1.7579375505	0.3175469041	90.221534729	48076.0	92.5251464844	43746.0	194333.0	90.9934310913
W-2_RB1in_S08_Forward	1.7640403509	0.4108508229	90.712928772	79304.0	94.1487350464	72872.0	261841.0	91.8894424438
W-2_RB1out_S08_Backward	0.0	0.0	0.0	49392.0	0.0	0.0	0.0	0.0
W-2_RB1out_S08_Forward	0.0	0.0	0.0	75414.0	0.0	0.0	37.0	0.0
W-2_RB2in_S08_Backward	1.7664444447	0.3910867274	94.1920394897	43338.0	95.5870819092	41044.0	250010.0	94.7067260742
W-2_RB2in_S08_Forward	1.8495652676	0.4526856542	92.4575805664	61482.0	93.6532211304	57302.0	287853.0	93.2012634277
W-2_RB2out_S08_Middle	1.744182229	-0.3853983283	94.1157836914	38870.0	94.8552246094	36634.0	245630.0	94.2474899292
W-2_RB2out_S08_Backward	1.5639566183	-0.4758518934	92.5479507446	28456.0	94.94581604	26390.0	98281.0	92.7396621704
W-2_RB2out_S08_Forward	1.813855052	-0.4842676818	92.9535903931	42426.0	95.6597595215	39632.0	162572.0	93.4144134521
W-2_RB3-_S08_Backward	1.2659337521	0.2322115898	79.0822372437	21826.0	81.616027832	17108.0	43633.0	78.3835754395
W-2_RB3-_S08_Forward	1.7332565784	0.285210669	92.2077102661	26506.0	95.0261535645	24426.0	72414.0	92.1527175903
W-2_RB3+_S08_Backward	0.0	0.0	0.0	30454.0	0.0	0.0	22.0	0.0
W-2_RB3+_S08_Forward	0.0	0.0	0.0	35146.0	0.0	0.0	51.0	0.0
W-2_RB4-_S08_Backward	1.2571569681	0.0633509234	77.4182357788	21448.0	76.8397369385	16146.0	52484.0	75.2797470093
W-2_RB4-_S08_Forward	1.3863818645	0.2180635631	87.5624008179	20058.0	90.0820617676	17462.0	61091.0	87.0575332642
W-2_RB4+_S08_Backward	1.4791666269	0.1132263765	88.0429534912	19088.0	90.8000488281	17130.0	88696.0	89.7422485352
W-2_RB4+_S08_Forward	1.6549081802	-0.039745681	94.3101272583	17582.0	95.9146881104	16630.0	82362.0	94.5853729248
W-2_RB1in_S09_Backward	1.6669808626	0.295407176	92.5516281128	180426.0	94.5460281372	167960.0	441393.0	93.0907974243
W-2_RB1in_S09_Forward	1.8648810387	0.5386555195	94.1615600586	350010.0	95.4256286621	331900.0	788608.0	94.8258666992
W-2_RB1out_S09_Backward	0.0	0.0	0.0	185618.0	0.0	0.0	64.0	0.0
W-2_RB1out_S09_Forward	0.0	0.0	0.0	337142.0	0.0	0.0	95.0	0.0
W-2_RB2in_S09_Backward	1.8906792402	0.3882708848	96.8282852173	167064.0	98.0109939575	162680.0	690364.0	97.3758544922
W-2_RB2in_S09_Forward	1.8528757095	0.162803635	95.044380188	316692.0	96.1824951172	303460.0	1060090.0	95.8218078613
W-2_RB2out_S09_Middle	1.6054836512	-0.145992294	93.5712432861	157502.0	95.1138305664	147866.0	370943.0	93.881980896
W-2_RB2out_S09_Backward	1.6691873074	-0.5154234767	94.3193588257	105526.0	97.5499725342	100024.0	283585.0	94.7861175537
W-2_RB2out_S09_Forward	1.6341465712	-0.3275349438	92.7708587646	225336.0	95.028213501	211324.0	420953.0	93.7817306519
W-2_RB3-_S09_Backward	1.7610886097	0.1585017592	95.4642944336	58644.0	97.2412109375	56074.0	196726.0	95.6176223755
W-2_RB3-_S09_Forward	1.8033874035	0.096838735	95.2350463867	98340.0	96.1748123169	93686.0	266647.0	95.2674407959
W-2_RB3+_S09_Backward	1.5114256144	0.0604444928	92.1633224487	114890.0	93.554725647	106640.0	388082.0	92.8192214966
W-2_RB3+_S09_Forward	1.7298623323	-0.0145304278	90.9658203125	185332.0	93.0380554199	169848.0	490086.0	91.6452636719
W-2_RB4_S09_Backward	1.4125350714	0.7128075957	92.3493423462	79786.0	93.1147766113	73670.0	233468.0	92.3344955444
W-2_RB4_S09_Forward	1.4926694632	0.1211913079	91.5667572021	102704.0	92.3553009033	93726.0	263894.0	91.2583694458
W-2_RB1in_S10_Backward	1.5635489225	0.1611580253	87.4857559204	251642.0	90.830947876	221914.0	623952.0	88.1863861084
W-2_RB1in_S10_Forward	2.1274282932	0.4016129971	90.6567459106	466708.0	95.8375549316	433398.0	1398623.0	92.8627700806
W-2_RB1out_S10_Backward	1.3912363052	-0.1400063932	84.141242981	262376.0	84.7116317749	220206.0	564851.0	83.9276428223
W-2_RB1out_S10_Forward	1.6022206545	-0.1807926595	90.9958267212	457192.0	91.6395263672	416722.0	933402.0	91.1481399536
W-2_RB2in_S10_Backward	1.5655523539	0.185697943	93.9226303101	321078.0	95.3346252441	303050.0	672458.0	94.3851623535
W-2_RB2in_S10_Forward	1.4712135792	0.1482189298	91.6330566406	577810.0	93.1514816284	532732.0	951960.0	92.1984710693
W-2_RB2out_S10_Middle	1.7099776268	-0.4414549768	92.1724472046	294884.0	93.9443969727	272536.0	779175.0	92.4214248657
W-2_RB2out_S10_Backward	1.6049818993	-0.1073533893	94.2599639893	204334.0	95.5729751587	193250.0	519906.0	94.5755462646
W-2_RB2out_S10_Forward	1.6262402534	-0.2098068446	95.6039810181	404594.0	96.5236358643	388370.0	905769.0	95.9900588989
W-2_RB3-_S10_Backward	1.5473309755	0.0675033405	95.0462493896	167980.0	96.08177948	159848.0	511661.0	95.1589431763
W-2_RB3-_S10_Forward	1.4099650383	0.122159414	82.6211624146	275446.0	82.8050994873	227758.0	546543.0	82.6869888306
W-2_RB3+_S10_Backward	1.3691029549	0.1556882858	92.4222335815	164332.0	93.9372634888	151986.0	325448.0	92.487159729
W-2_RB3+_S10_Forward	1.3416184187	0.1687040031	89.9649887085	275598.0	91.2527389526	248426.0	431917.0	90.1407089233
W-2_RB4-_S10_Backward	1.4601771832	0.3650426269	91.508140564	166078.0	92.4928741455	151274.0	703258.0	91.0861129761
W-2_RB4-_S10_Forward	1.548553586	0.4289500713	93.6308746338	218120.0	94.376083374	203362.0	836789.0	93.2340011597
W-2_RB4+_S10_Backward	1.3793777227	0.1810989678	89.5918502808	174184.0	91.6730651855	158116.0	519804.0	90.7752685547
W-2_RB4+_S10_Forward	1.5882838964	0.0922879353	94.3797225952	230856.0	95.6833953857	218662.0	797075.0	94.717918396
W-2_RB1in_S11_Backward	1.7241019011	-0.5232473612	69.9664993286	174994.0	74.4365615845	126778.0	436903.0	72.447052002
W-2_RB1in_S11_Forward	1.8027280569	-0.3212319911	92.2846832275	346226.0	94.176322937	323642.0	806918.0	93.4770965576
W-2_RB1out_S11_Backward	1.6746319532	0.4191374481	84.1002502441	189164.0	90.1797866821	166684.0	564319.0	88.1161346436
W-2_RB1out_S11_Forward	1.7262680531	0.4253278673	94.8655548096	353200.0	95.6186676025	337106.0	878480.0	95.4433746338
W-2_RB2in_S11_Backward	1.5624655485	0.267719835	92.2428588867	236344.0	93.4066085815	218666.0	787350.0	92.5202255249
W-2_RB2in_S11_Forward	1.739616394	0.0368685499	94.1960906982	442544.0	94.865196228	418260.0	1182905.0	94.5126342773
W-2_RB2out_S11_Middle	1.7497745752	0.1134299859	93.1551895142	209714.0	94.7428588867	195928.0	830731.0	93.42628479
W-2_RB2out_S11_Backward	1.4769701958	0.3205679655	93.6269378662	149486.0	95.629119873	140206.0	329733.0	93.7920608521
W-2_RB2out_S11_Forward	1.5908043385	0.0841988623	93.7158432007	308512.0	95.2871856689	291062.0	666156.0	94.3438186646
W-2_RB3-_S11_Backward	0.0	0.0	0.0	114754.0	0.0	0.0	40.0	0.0
W-2_RB3-_S11_Forward	0.0	0.0	0.0	185640.0	0.0	0.0	138.0	0.0
W-2_RB3+_S11_Backward	1.6147156954	-0.2116233706	94.6262512207	74608.0	96.5847549438	70778.0	263477.0	94.8665008545
W-2_RB3+_S11_Forward	1.5721279383	-0.3516941667	93.456161499	136592.0	94.8707427979	128094.0	322520.0	93.7785491943
